index,name,url,subtitle_file
1,Susanne Scherer,https://youtu.be/4SWEpdg81y0?si=f4f-Myy7oUDwNui-,c:\Users\pharm victor\Desktop\company files\Emails\Context\2025-11-21\subs\01_(ext)s.en.vtt
2,GVSUmath,https://youtu.be/9xzxc-8rFno?si=aV8-r0TLmeqITiyg,c:\Users\pharm victor\Desktop\company files\Emails\Context\2025-11-21\subs\02_(ext)s.en.vtt
3,Relish Math,https://youtu.be/MyHnIREZg4k?si=mRLj0CA2wd1TkL2S,c:\Users\pharm victor\Desktop\company files\Emails\Context\2025-11-21\subs\03_(ext)s.en.vtt
4,Anil Kumar,https://youtu.be/n-DUKAXq3tg?si=ovbYdgpx0qfNCpZ3,c:\Users\pharm victor\Desktop\company files\Emails\Context\2025-11-21\subs\04_(ext)s.en.vtt
5,Maths Coach,https://youtu.be/edTFSnznfoA?si=YPgib7oFZUBIx6-Q,c:\Users\pharm victor\Desktop\company files\Emails\Context\2025-11-21\subs\05_(ext)s.en.vtt
6,Mathematics Initiatives in Nepal-MIN,https://youtu.be/a7vTTbREb3A?si=4MzZmJFFrx8yK5k3,c:\Users\pharm victor\Desktop\company files\Emails\Context\2025-11-21\subs\06_(ext)s.en.vtt
7,AminusB,https://youtu.be/4XF_mOxCN3k?si=qYQSIUx-Bc10W2it,c:\Users\pharm victor\Desktop\company files\Emails\Context\2025-11-21\subs\07_(ext)s.en.vtt
8,Rizwan,https://youtu.be/2KtWzHtbinc?si=sC_pFbvvq8hI9sEu,c:\Users\pharm victor\Desktop\company files\Emails\Context\2025-11-21\subs\08_(ext)s.en.vtt
9,Brian,https://youtu.be/Y6BnbEFnPuQ?si=MzJ__1ClCnhAKD_I,c:\Users\pharm victor\Desktop\company files\Emails\Context\2025-11-21\subs\09_(ext)s.en.vtt
10,Mr H Tutoring,https://youtu.be/46bGG6bTZZs?si=oI65l4jcrvH8TYI5,c:\Users\pharm victor\Desktop\company files\Emails\Context\2025-11-21\subs\10_(ext)s.en.vtt
11,Shobhit Nirwan,https://youtu.be/Hnoe8hNPFr8?si=FRHc6lN47br5kptj,
12,Presh Talwalkar,https://youtu.be/ouc6iX4dlMw?si=dvQJagmyG_W872I5,c:\Users\pharm victor\Desktop\company files\Emails\Context\2025-11-21\subs\12_(ext)s.en.vtt
13,Jacob Sichamba,https://youtu.be/T6WEBTp8Hk0?si=gFS9cRmm6ajPEAM_,c:\Users\pharm victor\Desktop\company files\Emails\Context\2025-11-21\subs\13_(ext)s.en.vtt
14,Rob and Jeremy,https://www.youtube.com/watch?v=9Uc62CuQjc4&list=PLUPEBWbAHUsyiuhVHPbzQbalNYfItnxKq,c:\Users\pharm victor\Desktop\company files\Emails\Context\2025-11-21\subs\14_(ext)s.en.vtt
15,Krista,https://youtu.be/74Pn1L23LXE?si=EFCcrYjcf8k3ZAKd,c:\Users\pharm victor\Desktop\company files\Emails\Context\2025-11-21\subs\15_(ext)s.en.vtt
16,Brian,https://youtu.be/ShX_4i1ncVM?si=tJwqaaeEt6ORFhbj,c:\Users\pharm victor\Desktop\company files\Emails\Context\2025-11-21\subs\16_(ext)s.en.vtt
17,Digital Genusis,https://www.youtube.com/watch?v=ppRgvfIJsgU,c:\Users\pharm victor\Desktop\company files\Emails\Context\2025-11-21\subs\17_(ext)s.en.vtt
18,TheGrayCuber,https://www.youtube.com/watch?v=P9ApmHdPZeI,c:\Users\pharm victor\Desktop\company files\Emails\Context\2025-11-21\subs\18_(ext)s.en.vtt
19,Math Out Loud,https://youtu.be/NQ8UJbhQZB8?si=Nlyvt13JYH_T45Gw,c:\Users\pharm victor\Desktop\company files\Emails\Context\2025-11-21\subs\19_(ext)s.en.vtt
20,73 Math,https://www.youtube.com/watch?v=k9BeLSHBNlI,c:\Users\pharm victor\Desktop\company files\Emails\Context\2025-11-21\subs\20_(ext)s.en.vtt
21,MrJ,https://www.youtube.com/watch?v=hkzV24Hmj_A,c:\Users\pharm victor\Desktop\company files\Emails\Context\2025-11-21\subs\21_hkzV24Hmj_A.en.vtt
22,Prime Newtons,https://youtu.be/eIVjK1OgWTg?si=OfpY1Zd0pmvvUjjg,c:\Users\pharm victor\Desktop\company files\Emails\Context\2025-11-21\subs\22_eIVjK1OgWTg.en.vtt
23,ThoughtThrill,https://youtu.be/M4OVyK7YgK0?si=HP-I4rJZBWE8WjoA,c:\Users\pharm victor\Desktop\company files\Emails\Context\2025-11-21\subs\23_M4OVyK7YgK0.en.vtt
24,Julian,https://www.youtube.com/watch?v=YCOtQU4jyPw,
25,Rolando,https://youtu.be/7pWc-a5shRk?si=UDxgLOk2Lro67WCl,c:\Users\pharm victor\Desktop\company files\Emails\Context\2025-11-21\subs\25_7pWc-a5shRk.en.vtt
26,ACETutoring,https://youtu.be/cDsOARyWB3c?si=hhauGM4ESFqxtbyD,c:\Users\pharm victor\Desktop\company files\Emails\Context\2025-11-21\subs\26_(ext)s.en.vtt
27,LeafEd,https://youtu.be/h8DJS1LtYO4?si=hch6CPm--oZu_YZG,c:\Users\pharm victor\Desktop\company files\Emails\Context\2025-11-21\subs\27_(ext)s.en.vtt
28,Malikaa,https://youtu.be/QXtsEPsAQ8k?si=5ZYZGzmShEuuA-gR,c:\Users\pharm victor\Desktop\company files\Emails\Context\2025-11-21\subs\28_(ext)s.en.vtt
29,Maths Mario,https://youtu.be/vN8I1iAUZcY?si=jkVW78HmfBR7HSgv,c:\Users\pharm victor\Desktop\company files\Emails\Context\2025-11-21\subs\29_(ext)s.en.vtt
30,Dummy R,https://youtu.be/MGRuqYiaWog?si=8aaE1HmKk3qi3HMq,c:\Users\pharm victor\Desktop\company files\Emails\Context\2025-11-21\subs\30_(ext)s.en.vtt
